Serial	Primary	Secondary	Word I	Word II	Word III	Remark
	Animal					
		insect				
			ant			
			fly			
			spider			
			cricket			
			mosquito			
			ape			
			snail			
			snake			
			bull			
			bee			
			beetle			
			cockroach			
			crab			
			lizard			
			mouse			
			buffalo			
			cat			
			donkey			
			frog			
			goose			
			gorilla			
			goat			
			giraffe			
			gecko			
			horse			
			leopard			
			lion			
			chimpanzee			
			camel			
			kangaroo			
			monkey			
			cheetah			
			cow			
			jackal			
			tiger			
			zebra			
			sloth			
			tortoise			
			oyster			
			elephant			
			rhino			
			wolf			
			hippo			
			dinosaur			
			dodo			
			shark			
			koala			
			puma			
		fish				
			dolphin			
			whale			
			tuna			
			fox			
			dragon			
			crocodile			
			yak			
			sheep			
			octopus			
			panda			
			panther			
			rabbit			
			walrus			
		bird				
			eagle			
			dove			
			chicken			
			crow			
			bat			
			duck			
			hawk			
			owl			
			crane			
			cobra			
			parrot			
			penguin			
			robin			
			swan			
				falcon		
				mammoth		
			squid			
			squirrel			
			ostrich			
			kiwi			
			pigeon			
			vulture			
	Body					
		*				
			lap			
			jaw			
			lip			
			eye			
			face			
			elbow			
			arm			
			bone			
			brain			
			chest			
			chin			
			ear			
			claw			
			nail			
			skeleton			
			skin			
			finger			
			hip			
			leg			
			head			
			heart			
			hair			
			knee			
			throat			
			thumb			
			mouth			
			hand			
			muscle			
			stomach			
			feet			
			kidney			
			cheek			
			liver			
			blood			
			flesh			
			neck			
			tooth			
			tongue			
			nerve			
			nose			
			wrist			
			toe			
			thigh			
			feather			
			wing			
			lung			
			shoulder			
			tail			
			vein			
			stem			
			trunk			
			twig			
			branch			
						
	Cloth					
		*				
				dress		
			suit			
			sweater			
			towel			
			sock			
			tie			
			cap			
			frock			
			pocket			
			pant			
			skirt			
			shirt			
			shoe			
			linen			
			coat			
			jacket			
			jeans			
			trouser			
			scarf			
	Colour					
		*				
			black			
			red			
			blue			
			yellow			
			green			
			white			
	Device					
		*				
			umbrella			
					lens	
			tub			
			tube			
			pipe			
				wrench		
			ladder			
			lamp			
			tap			
			telephone			
			telescope			
			screw			
			watch			
			clock			
			motor			
			radio			
			wheel			
			pen			
			pencil			
			needle			
			computer			
			alarm			
			compass			
			anchor			
			axle			
			belt			
			button			
			bulb			
			bottle			
			helmet			
			calculator			
			basin			
			basket			
			battery			
			blade			
			book			
			plug			
			socket			
			camera			
			oven			
			hammer			
			printer			
			speaker			
			shovel			
			scissor			
			switch			
			bag			
			paper			
			bucket			
			key			
			lock			
	Energy					
		*				
			candle			
	Flower					
		*				
			lily			
			orchid			
			rose			
			daffodil			
			dahlia			
			lotus			
			tulip			
	Food					
		*				
			soup			
			salt			
			sugar			
			biscuit			
			bread			
			bun			
			cake			
			candy			
			chocolate			
			juice			
			muffin			
			pizza			
			cookie			
			jam			
			waffle			
			jelly			
			pickle			
